Approval (initials),Title,Slug,Status,Parent ID,SKU,Size,Visibility,Side,Product/Part Number,Hip Size,Upper Bar Thickness (mm),Depth (mm),Minimum Calf Size (in),Minimum Ankle Size (in),Length (in.),Length (mm),Minimum Patient Weight (kg),Maximum Patient Weight (kg),Patient Weight (kg),Build Height (inches),Build Height (mm.),Min. Distal Circumference (mm),Max Distal Circumference (mm),Min. Proximal Circumference (mm),Max Proximal Circumference (mm),Weight (oz.),Weight (g),Quantity,Width (in.),Width (mm),Height (in.),Height (mm),Weight Rating (lb.),Weight Limit (lbs.),Mount Height range (mm),Diameter (in.),Diameter (mm),Flexion,Material,Thread,Pyramid (mm),Pyramid Receiver (mm),Tube Clamp (mm),Through Hole,Plate Thickness (mm.),Socket Offset Distance (mm.),Compatible Foot,Categories,Tags,Colors,Attachments / Extras
,Obsidian Pediatric Running Blade Posterior Mount,,,2056,175-120-3A,,visible,,,,,,,,,,23,33,23-33 kg,2,,,,,,19.4,550,,,,,,,,267 - 470,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Pediatric Running Blade Posterior Mount,,,2056,175-120-2A,,visible,,,,,,,,,,34,44,34-44 kg,2,,,,,,19.4,550,,,,,,,,267 - 470,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Pediatric Running Blade Posterior Mount,,,2056,175-120-A,,visible,,,,,,,,,,45,56,45-56 kg,2,,,,,,19.4,550,,,,,,,,267 - 470,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Pediatric Running Blade Posterior Mount,,,2056,175-120-B,,visible,,,,,,,,,,57,68,57-68 kg,2,,,,,,19.4,550,,,,,,,,267 - 470,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Pediatric Running Blade Posterior Mount,,,2056,175-120-C,,visible,,,,,,,,,,69,81,69-81 kg,2,,,,,,19.4,550,,,,,,,,267 - 470,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-A,,visible,,,,,,,,,,57,68,57-68 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-B,,visible,,,,,,,,,,69,81,69-81 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-C,,visible,,,,,,,,,,82,95,82-95 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-D,,visible,,,,,,,,,,96,109,96-109 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-E,,visible,,,,,,,,,,110,125,110-125 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Running Blade Posterior Mount,,,2056,175-110-F,,visible,,,,,,,,,,125,150,125-150 kg,2,,,,,,28,800,,,,,,,,394 - 546,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Obsidian Sprint Blade Posterior Mount,,,2056,177-110-X**,,visible,,,,,,,,,,45,150,45-150 kg,3,,,,,,35,1000,,,,,,,,457 - 660,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,Requires order form http://fillauer.com/pdf/wf172.pdf
,Aeris Performance 2,,,2058,122-10-22-A2,22 cm,visible,,,,,,,,,,45,63,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-22-B3,22 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-22-B4,22 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-22-C5,22 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-23-A2,23 cm,visible,,,,,,,,,,45,63,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-23-B3,23 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-23-B4,23 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-23-C5,23 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-24-A2,24 cm,visible,,,,,,,,,,45,63,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-24-B3,24 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-24-B4,24 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-24-C5,24 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-25-B4,25 cm,visible,,,,,,,,,,45,63,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-25-B5,25 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-25-C6,25 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-25-D7,25 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-25-E8,25 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-26-B4,26 cm,visible,,,,,,,,,,45,63,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-26-B5,26 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-26-C6,26 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-26-D7,26 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-26-E8,26 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-27-C5,27 cm,visible,,,,,,,,,,54,72,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-27-C6,27 cm,visible,,,,,,,,,,73,90,73-81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-27-D7,27 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-27-E8,27 cm,visible,,,,,,,,,,113,136,113-124 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-27-E9,27 cm,visible,,,,,,,,,,137,150,137-150 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-28-C5,28 cm,visible,,,,,,,,,,54,72,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-28-C6,28 cm,visible,,,,,,,,,,73,90,73-81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-28-D7,28 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-28-E8,28 cm,visible,,,,,,,,,,113,136,113-124 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-28-E9,28 cm,visible,,,,,,,,,,137,150,137-150 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-29-D6,29 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-29-D7,29 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-29-E8,29 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-29-E9,29 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-30-D6,30 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-30-D7,30 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-30-E8,30 cm,visible,,,,,,,,,,102,124,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance 2,,,2058,122-10-30-E9,30 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-22-A,22 cm,visible,,,,,,,,,,45,74,45-59 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-22-B,22 cm,visible,,,,,,,,,,75,107,75-90 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-23-A,23 cm,visible,,,,,,,,,,45,74,45-59 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-23-B,23 cm,visible,,,,,,,,,,75,107,75-90 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-24-A,24 cm,visible,,,,,,,,,,45,74,45-59 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-24-B,24 cm,visible,,,,,,,,,,75,107,75-90 kg,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-25-B,25 cm,visible,,,,,,,,,,45,74,45-59 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-25-C,25 cm,visible,,,,,,,,,,75,107,75-90 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-25-D,25 cm,visible,,,,,,,,,,108,125,108-125 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-26-B,26 cm,visible,,,,,,,,,,45,74,45-59 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-26-C,26 cm,visible,,,,,,,,,,75,107,75-90 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-26-D,26 cm,visible,,,,,,,,,,108,125,108-125 kg,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-27-B,27 cm,visible,,,,,,,,,,45,59,45-59 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-27-C,27 cm,visible,,,,,,,,,,60,90,60-74 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-27-D,27 cm,visible,,,,,,,,,,91,125,91-107 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-28-B,28 cm,visible,,,,,,,,,,45,59,45-59 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-28-C,28 cm,visible,,,,,,,,,,60,90,60-74 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-28-D,28 cm,visible,,,,,,,,,,91,125,91-107 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-29-C,29 cm,visible,,,,,,,,,,45,59,45-59 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-29-D,29 cm,visible,,,,,,,,,,60,90,60-74 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-29-E,29 cm,visible,,,,,,,,,,91,125,91-107 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-30-C,30 cm,visible,,,,,,,,,,45,59,45-59 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-30-D,30 cm,visible,,,,,,,,,,60,90,60-74 kg,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,Aeris Performance LP,,,2059,123-10-30-E,30 cm,visible,,,,,,,,,,91,125,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,,,
,MCV Foot Shell,,,2060,45 22 13 03 3,22 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 22 13 03 3,22 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 23 13 03 3,23 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 23 13 03 3,23 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 24 13 03 3,24 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 24 13 03 3,24 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 25 13 03 3,25 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 25 13 03 3,25 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 26 13 03 3,26 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 26 13 03 3,26 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 27 13 03 3,27 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 27 13 03 3,27 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 28 13 03 3,28 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,58 28 13 03 3,28 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 29 13 03 3,29 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 29 13 03 3,29 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 30 13 03 3,30 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,46 30 13 03 3,30 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",3,
,MCV Foot Shell,,,2060,45 22 13 09 3,22 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 22 13 09 3,22 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 23 13 09 3,23 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 23 13 09 3,23 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 24 13 09 3,24 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 24 13 09 3,24 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 25 13 09 3,25 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 25 13 09 3,25 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 26 13 09 3,26 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 26 13 09 3,26 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 27 13 09 3,27 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 27 13 09 3,27 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 28 13 09 3,28 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,58 28 13 09 3,28 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 29 13 09 3,29 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 29 13 09 3,29 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 30 13 09 3,30 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,46 30 13 09 3,30 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",9,
,MCV Foot Shell,,,2060,45 22 13 13 3,22 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 22 13 13 3,22 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 23 13 13 3,23 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 23 13 13 3,23 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 24 13 13 3,24 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 24 13 13 3,24 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 25 13 13 3,25 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 25 13 13 3,25 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 26 13 13 3,26 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 26 13 13 3,26 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 27 13 13 3,27 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,46 27 13 13 3,27 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,45 28 13 13 3,28 cm,visible,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
,MCV Foot Shell,,,2060,58 28 13 13 3,28 cm,visible,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",13,
